SMILES,pIC50
O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,8.366531544
O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCN4CCOCC4)C(OC)=C3,8.356547324
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCC3=CC=NC(N)=C3)C=C2)=S,8.346787486
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(NC3CCN(CCN)CC3)=O)C(OC)=C2,8.346787486
COC1=CC=C(N(C2CCCCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.346787486
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCC3CCN(C)CC3,8.337242168
COC1=CC=C(N(CC2=CC=CC=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.337242168
COC1=CC=C(N(C2CCCCC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.327902142
O=C(NCCCN1C(C)=CN=C1)N(C2CC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.327902142
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCN3CCNCC3)C=C2)=S,8.318758763
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCN3CCN(CCO)CC3)C(OC)=C2,8.318758763
O=C(NCCCN1C(C)=CN=C1)N(CC)C2=CC=C(OCCN3CCNCC3)C(OC)=C2,8.318758763
O=C(NCCCN1C(C)=CN=C1)N(C2CCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.301029996
COC1=CC=C(N(C(NCCCN2C=NC=C2C)=S)CC3=CC=C(Cl)C=C3)C=C1OC,8.283996656
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCN)C=C2)=S,8.27572413
COC1=CC=C(N(CC2=CC=CN=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.26760624
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCC3=CC=NC(N)=C3,8.259637311
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCC(NC3CCNCC3)=O)C(OC)=C2,8.259637311
